title,work experience,salary,region
Senior QA Automation Engineer / SDET,3–6 лет,з/п не указана,Алматы
"DevOps Engineer (AWS, Kubernetes, Financial Analytics System)",3–6 лет,з/п не указана,Алматы
"DevOps Engineer (AWS, Kubernetes, Financial Analytics System)",3–6 лет,з/п не указана,Астана
Data analyst (CV),3–6 лет,з/п не указана,Алматы
Fullstack Developer с навыками DevOps,3–6 лет,з/п не указана,Астана
Backend developer - (Slovenia),3–6 лет,з/п не указана,Ljubljana
"DevOps with GCP, Telemedicine Technology Solutions",3–6 лет,з/п не указана,Астана
"DevOps with GCP, Telemedicine Technology Solutions",3–6 лет,з/п не указана,Алматы
Senior Full-Stack Developer / Middle Full-Stack Developer (LUA/JS/PHP/HTML/CSS),1–3 года,от 900 000 до 1 200 000 KZT до вычета налогов,Нур-Султан (Астана)
Senior Embedded Developer / Middle Embedded Developer (C/C++/LUA),3–6 лет,от 800 000 до 1 350 000 KZT до вычета налогов,Нур-Султан (Астана)
Information & Analytics Engineer,3–6 лет,з/п не указана,Атырау
Middle Web QA Engineer,1–3 года,от 850 000 до 1 150 000 KZT на руки,Алматы
Frontend Developer (Angular),3–6 лет,от 220 000 до 250 000 руб. на руки,Алматы
Backend-разработчик,3–6 лет,з/п не указана,Алматы
Senior Web QA,3–6 лет,з/п не указана,Алматы
"Scala Developer, Smart Platform",3–6 лет,з/п не указана,Астана
"Senior Data Engineer, Media Conglomerate",3–6 лет,з/п не указана,Алматы
"Middle Data Engineer, Media Conglomerate",3–6 лет,з/п не указана,Астана
"Middle Data Engineer, Media Conglomerate",3–6 лет,з/п не указана,Алматы
"Middle Data Engineer, Media Conglomerate",3–6 лет,з/п не указана,Караганда
"Junior / Senior Consultant, Data Scientist, Technology Group",3–6 лет,з/п не указана,Алматы
Database Administrator - Almaty/Nur-Sultan,1–3 года,з/п не указана,Астана
Full-stack разработчик,3–6 лет,з/п не указана,Алматы
Software/Data Engineer with C++,3–6 лет,з/п не указана,Алматы
Security Researcher (GReAT),3–6 лет,з/п не указана,Астана
Программист 1С,3–6 лет,з/п не указана,Астана
Full-Stack Developer в департамент цифровой трансформации,3–6 лет,з/п не указана,Астана
Fullstack разработчик,3–6 лет,от 500 000 KZT на руки,Караганда
Senior Back end Java developer (teamlead),3–6 лет,от 1 500 000 KZT на руки,Астана
Android разработчик,1–3 года,от 800 000 до 1 200 000 KZT на руки,Астана
Преподаватель по программированию,не требуется,з/п не указана,Нур-Султан (Астана)
Учитель в школу программирования,1–3 года,от 150 000 до 250 000 KZT на руки,Алматы
Программист\разработчик javascript backend,1–3 года,з/п не указана,Алматы
Front end / Full stack разработчик сайтов в Digital Agency,1–3 года,от 150 000 до 300 000 KZT до вычета налогов,Алматы
Web-программист,1–3 года,от 400 000 до 400 000 KZT на руки,Алматы
Fullstack developer,1–3 года,от 100 000 KZT до вычета налогов,Алматы
PHP-программист,1–3 года,от 350 000 до 450 000 KZT на руки,Алматы
Разработчик BI-инструментов,1–3 года,з/п не указана,Алматы
Senior QA Engineer / Middle QA Engineer,3–6 лет,от 600 000 KZT на руки,Нур-Султан (Астана)
Партнер Software Developer,3–6 лет,от 500 000 до 1 500 000 KZT до вычета налогов,Павлодар
Senior Python Developer,3–6 лет,от 6 000 USD на руки,Баку
Python + Go Developer (удаленно),1–3 года,от 160 000 руб. на руки,Баку
Backend разработчик со знанием Python,3–6 лет,от 2 500 до 3 000 USD на руки,Баку
Senior Python developer,3–6 лет,з/п не указана,Баку
QA Intern - Automation testing,не требуется,з/п не указана,Баку
Python (Django) Developer,3–6 лет,з/п не указана,Баку
Python Developer,3–6 лет,з/п не указана,Баку
Technical Architect Node.Js,3–6 лет,з/п не указана,Гянджа
Lead Observability Engineer,3–6 лет,з/п не указана,Баку
Full-Stack Developer,более 6 лет,от 6 000 USD на руки,Баку
Lead QA Automation Engineer (Blockchain DeFi),3–6 лет,з/п не указана,Баку
Fullstack Developer с навыками DevOps,3–6 лет,з/п не указана,Баку
undefinite,undefinite,RocketData,Минск
Python Developer,1–3 года,з/п не указана,Минск
Python Developer (Senior/Middle),3–6 лет,от 2 000 USD на руки,Минск
Senior Python Программист,3–6 лет,з/п не указана,Минск
Инженер-программист (Junior+/Middle Automation QA),3–6 лет,з/п не указана,Минск
Программист,1–3 года,з/п не указана,Минск
Senior Python developer,3–6 лет,з/п не указана,Минск
Python Developer (Lead/Senior),3–6 лет,з/п не указана,Минск
DevOps Engineer,1–3 года,от 2 000 до 3 500 USD на руки,Минск
Senior backend разработчик Python,3–6 лет,з/п не указана,Минск
Backend Engineer (Python),3–6 лет,з/п не указана,Минск
"Python developer (преподаватель курсов ""Программирование на Python"")",1–3 года,з/п не указана,Минск
Python Developer,3–6 лет,з/п не указана,Минск
Middle/Senior Python Developer,3–6 лет,з/п не указана,Минск
Backend разработчик,3–6 лет,от 2 500 до 3 000 USD на руки,Минск
Middle/Senior Python developer (remote),3–6 лет,от 3 000 до 5 000 USD до вычета налогов,Минск
Trainee Ruby Developer,1–3 года,з/п не указана,Минск
Программист Python,не требуется,з/п не указана,Минск
Middle Python developer,1–3 года,з/п не указана,Минск
Инженер по исследованиям/Photonics R&D Scientist,1–3 года,з/п не указана,Минск
Senior Backend Developer (Python),3–6 лет,з/п не указана,Минск
Программист фронт JavaScript (Senior/Middle),3–6 лет,от 1 500 USD на руки,Минск
Odoo Developer,1–3 года,от 2 500 USD на руки,Минск
Middle / Senior Python developer,3–6 лет,з/п не указана,Минск
Программист Python (Django),1–3 года,з/п не указана,Минск
DevOps Engineer Platform (Минск),1–3 года,з/п не указана,Минск
Game/Backend Team Lead,3–6 лет,з/п не указана,Минск
C++ Gameplay Developer,1–3 года,з/п не указана,Минск
DIOps Engineer (Минск),1–3 года,з/п не указана,Минск
Senior Product Analyst,3–6 лет,з/п не указана,Минск
Системный архитектор / системный аналитик,3–6 лет,от 2 500 бел. руб. на руки,Минск
Deep Learning and Computer Vision Engineer,3–6 лет,з/п не указана,Минск
DataBase Administrator (Минск),1–3 года,з/п не указана,Минск
Product Analyst,1–3 года,з/п не указана,Могилев
Математик-программист,3–6 лет,з/п не указана,Минск
Математик-программист,3–6 лет,з/п не указана,Гродно
Математик-программист,3–6 лет,з/п не указана,Витебск
DevOps Engineer at Cycode,3–6 лет,з/п не указана,Минск
PHP-разработчик,1–3 года,з/п не указана,Минский район
Senior Fraud Analyst,3–6 лет,з/п не указана,Минск
Back-End Developer at Cycode,3–6 лет,з/п не указана,Минск
Senior DevOps Engineer,более 6 лет,з/п не указана,Минск
"Senior Full-stack Engineer, RAVE Tooling (Mapping Tools)",3–6 лет,з/п не указана,Минск
Data Scientist,3–6 лет,з/п не указана,Минск
Senior Data Engineer - POI,более 6 лет,з/п не указана,Минск
DevOps Engineer,1–3 года,з/п не указана,Минск
Senior Software Tester,более 6 лет,з/п не указана,Минск
Head of Testing Group,3–6 лет,з/п не указана,Минск
Ведущий ITSM разработчик,более 6 лет,з/п не указана,Минск
Инженер-физик/Photonics R&D,3–6 лет,з/п не указана,Минск
R&D Engineer,3–6 лет,з/п не указана,Минск
Технический художник / Tech Artist,1–3 года,з/п не указана,Минск
"Search Insights Specialist, RAVE",1–3 года,з/п не указана,Минск
ML Engineer Team Lead,1–3 года,з/п не указана,повят Варшава
Trading strategy consultant/developer (Quant),3–6 лет,з/п не указана,Минск
Test Automation Engineer,3–6 лет,з/п не указана,Минск
QA Engineer (middle/senior),3–6 лет,з/п не указана,Минск
Trainee .Net Developer,1–3 года,з/п не указана,Могилев
DevOps Engineer,3–6 лет,з/п не указана,Минск
Big Data Engineer,3–6 лет,з/п не указана,Минск
Технический художник / Tech Artist,3–6 лет,з/п не указана,Минск
Automation QA Engineer (FinTech & BlockChain),1–3 года,з/п не указана,Минск
Senior/Lead C++ developer,более 6 лет,з/п не указана,Минск
Senior QA Backend Full-Stack,3–6 лет,з/п не указана,Минск
Middle QA Backend Full-Stack,3–6 лет,з/п не указана,Минск
Middle QA Mobile Full-Stack,3–6 лет,з/п не указана,Минск
Senior QA Mobile Full-Stack,3–6 лет,з/п не указана,Минск
Android Middle Developer,1–3 года,з/п не указана,Минск
ML engineer,1–3 года,з/п не указана,повят Варшава
Lead Observability Engineer,3–6 лет,з/п не указана,Минск
Lead QA Automation Engineer (Blockchain DeFi),3–6 лет,з/п не указана,Минск
Разработчик Back end developer / Full stack developer / IT administrator С# (Remote),1–3 года,з/п не указана,Минск
Product owner / Product manager (Remote),1–3 года,з/п не указана,Минск
QA Automation Engineer (Python),1–3 года,з/п не указана,Минск
Project Manager,1–3 года,з/п не указана,Минск
Senior DevOps,3–6 лет,з/п не указана,Минск
Инженер-программист,1–3 года,от 1 400 бел. руб. на руки,Минск
Data Engineer/ETL Developer,1–3 года,з/п не указана,Минск
Game Data Analyst,1–3 года,з/п не указана,Гомель
Data Analyst (to Montenegro),1–3 года,з/п не указана,Минск
Automation QA Engineer (Senior),3–6 лет,от 2 500 USD на руки,Минск
ELK support engineer,3–6 лет,з/п не указана,Минск
Technical Consultant,1–3 года,з/п не указана,Минск
Microsoft Database / BI Senior Developer,3–6 лет,з/п не указана,Минск
